item_no,item_name,category,kind,requests,part_numbers,merged_from
CON-0029,Red Putty,Consumables,consumable,4,,Red Potty | Read Putty | Putty Red
CON-0030,Silicone Sealant,Consumables,consumable,4,,Silicon
CON-0031,Thread Lock,Consumables,consumable,4,,Thread Lock
CON-0032,2K Lacquer,Consumables,consumable,3,,2K Lacker
CON-0033,Bandage Roll,Consumables,consumable,3,,Bandage Roll | Bondage Roll
CON-0034,Bronze Rod,Consumables,consumable,3,5/6,Bronze Rod | Bronze Rods
CON-0035,Carburetor Cleaner,Consumables,consumable,3,,Carbulator cleaner | Carburetor & Injector Cleaner | Carburetor Cleaner
CON-0036,Compound,Consumables,consumable,3,,Compound
CON-0037,Dettol,Consumables,consumable,3,,Dettol (Card) | Dettol
CON-0038,Grey Paint,Consumables,consumable,3,,Gray Paint
CON-0039,Newspaper,Consumables,consumable,3,,Paper News | News Paper
CON-0040,Paint,Consumables,consumable,3,,Paint
CON-0041,Paint (Ash),Consumables,consumable,3,,Paint (Ash) | Paint (Ash Colour)
CON-0042,Paint (Blue),Consumables,consumable,3,,Paint Blue
CON-0043,Plaster Roll,Consumables,consumable,3,,Plaster Roll
CON-0044,Rubber Gloves,Consumables,consumable,3,,Rubber Gloves | Rubber Hand Gloves
CON-0045,Soap,Consumables,consumable,3,,Soap (Mini) | Life Buoy Soap | Soap
CON-0046,Wheel Brush,Consumables,consumable,3,1am,Wheel Brush
CON-0047,White Silicone Sealant,Consumables,consumable,3,,Silicon Gum (White) | Silicone (All Purpose) White
CON-0048,Wood Powder,Consumables,consumable,3,,Wood Powder
CON-0049,Antiseptic Cream,Consumables,consumable,2,,Antiseptic Cream
CON-0050,Araldite Gum,Consumables,consumable,2,,Araldite Gum
CON-0051,Brass Rod,Consumables,consumable,2,"1-1/2""","Brass Rod 1 1/2"""
CON-0052,Car Wash Liquid,Consumables,consumable,2,,Car Wash Liquid | Car Wash (Ltr)
CON-0053,Coconut Oil,Consumables,consumable,2,415,Coconut Oil
CON-0054,Cotton Wool,Consumables,consumable,2,30g,Cotton Wool
CON-0055,Cutting Wheel,Consumables,consumable,2,,4 1/2 Cutting Wheel | Cutting Wheel 4 1/2
CON-0056,Grinding Stone,Consumables,consumable,2,,Grinding Stone (Rough)
CON-0057,Laser Toner Cartridge,Consumables,consumable,2,83X1CRG-337 | 83x1CR6-237,Laser Toner Cartridge | Printer Toner 83x1CR6-237
CON-0058,Mack Foil,Consumables,consumable,2,,Mack Foil | Mack Foil For AC Repair (Ft)
CON-0059,Paint (Green),Consumables,consumable,2,,Paint (Green)
CON-0060,Paint Brush,Consumables,consumable,2,,Paint Brush
CON-0061,Panadol,Consumables,consumable,2,,Panadol (Card) | Panado
CON-0062,Polish Pad,Consumables,consumable,2,,Polish Pad
CON-0063,Polythene Roll,Consumables,consumable,2,,6 WHL Polytheen Roll | Clear Polytheen Roll
CON-0064,Sealastic,Consumables,consumable,2,,Sealastic (Tube)
CON-0065,Shellac,Consumables,consumable,2,,Gasket Shellac | Shellac
CON-0066,Sponge Ball,Consumables,consumable,2,DN150,Sponge ball 150mm | DN150 Sponge Ball (original)
CON-0067,Steel Epoxy Glue,Consumables,consumable,2,,Steel Epoxy Glue
CON-0068,Surgical Spirit,Consumables,consumable,2,,Surgical Spirit
CON-0069,Thread Seal Tape,Consumables,consumable,2,,Thread Seal | Thread Seal Tape
CON-0070,Aerialite,Consumables,consumable,1,,Aerialite
CON-0071,Anticorrosive Paint (Black),Consumables,consumable,1,,Anticorrosive (Black)
CON-0072,Arm Wire,Consumables,consumable,1,,Arm Wire 1kg
CON-0073,Asbestos Packing,Consumables,consumable,1,,Abite Packing 2mm
CON-0074,Bandage,Consumables,consumable,1,,Bandage Pack
CON-0075,Battery Acid,Consumables,consumable,1,1L bottle,Battery Acid
CON-0076,Battery Acrol,Consumables,consumable,1,,Battery Acrol
CON-0077,Betadine,Consumables,consumable,1,,Betadine
CON-0078,Broom,Consumables,consumable,1,,Broom
CON-0079,Buffer Stone,Consumables,consumable,1,,Buffer Stone
CON-0080,Burn Cream,Consumables,consumable,1,,Burn Cream
CON-0081,Civil Gloves,Consumables,consumable,1,,Civil Gloves
CON-0082,Clear Lacquer,Consumables,consumable,1,,Lacker (Clear)
CON-0083,Cotton,Consumables,consumable,1,,Cotton Pack
CON-0084,Cotton Wool Roll,Consumables,consumable,1,,Cotton wool Roll
CON-0085,Dettol Plaster,Consumables,consumable,1,,Dettol Plaster
CON-0086,Filler Paint,Consumables,consumable,1,,Filler Paint
CON-0087,Gasket Packing Sheet,Consumables,consumable,1,,"9""*9"" Packing — Set"
CON-0088,Gasket Shellac,Consumables,consumable,1,,Gasket Sellak
CON-0089,Gauze,Consumables,consumable,1,,Gauze
CON-0090,Gum Boot,Consumables,consumable,1,,Gum Boot
CON-0091,Hand Spray Paint (Black),Consumables,consumable,1,,Hand Spray (Black)
CON-0092,Head Light Polish,Consumables,consumable,1,,Head Light Polish
CON-0093,High Pressure Liquid,Consumables,consumable,1,,High Pressure Liquid
CON-0094,Hollow Pipe,Consumables,consumable,1,,Hollow pipe (For Silencer repair)
CON-0095,Lacquer,Consumables,consumable,1,,Lacker
CON-0096,Mop,Consumables,consumable,1,,Mop
CON-0097,Multi Bond,Consumables,consumable,1,,Multi Bond
CON-0098,Over Roll,Consumables,consumable,1,,Over Roll
CON-0099,PVC Tape,Consumables,consumable,1,,PVC Tape
CON-0100,Packing (Alite),Consumables,consumable,1,,Packing (Alite)
CON-0101,Pain Relief Cream,Consumables,consumable,1,,Pain Relief Cream
CON-0102,Paint (Gold),Consumables,consumable,1,,Paint Gold
CON-0103,Piriton,Consumables,consumable,1,60mm,Priton card
CON-0104,Piriton Tablet,Consumables,consumable,1,,Piriton tablet
CON-0105,Plastic Primer,Consumables,consumable,1,,Plastic Primer
CON-0106,Polishing Disc,Consumables,consumable,1,,Polising Disc 4 1/2
CON-0107,Polysack Bag,Consumables,consumable,1,,Empty Polysack Bags
CON-0108,Povidone Iodine Solution,Consumables,consumable,1,,Povidone Iodine Solution
CON-0109,Primer Paint,Consumables,consumable,1,,Primer Paint
CON-0110,Roller Brush,Consumables,consumable,1,,Roller Brush
CON-0111,Rubber,Consumables,consumable,1,,Rubber
CON-0112,S-Lon Gum,Consumables,consumable,1,,S-Lon Gum (Small)
CON-0113,Silicone Gum,Consumables,consumable,1,,Silicon Gum
CON-0114,Silver Paint,Consumables,consumable,1,,Silver paint
CON-0115,Vicks Balm,Consumables,consumable,1,,Vicks Balm
CON-0116,White Polythene,Consumables,consumable,1,,White Polytheen
CON-0117,Wire Brush,Consumables,consumable,1,,Wire Brush
ELE-0001,Signal Light,Electrical,part,23,,Side Signal Light (L) | Signal Light (R/L) | Signal light L | Side signal lamp | Signal light (Left) | Signal light (front left) | Side Signal Light | Signal Light | Signal Light (L/R) | Signal light R | Signal Light (Rear)
ELE-0002,Carbon Brush Set,Electrical,part,20,,Brush Set | Carbon Brush Set
ELE-0003,Fuse,Electrical,part,18,10/15/20/25A,Fuse 10A | Fuse 15A | Fuse 20A | Fuse 25A | Fuse 30A | Fuse 35A | Fuse 10Amp | Fuse 15Amp | Fuse 20Amp | 15 Amp Fuse | 20A Fuse | Fuse | Fuse 10 | Fuse 15 | Fuse 20
ELE-0004,Relay,Electrical,part,17,40A mini | 12V,Relay 12V/5pin | 12V / 5 Pin Relay | 12V Relay | 24V 04Pin Relay | 24V Relay | 24V/5 Pin Relay | 24V/80A 5pin Relay | 3. 12V / Relay | 48V Relay | Relay
ELE-0005,Head Light,Electrical,part,16,,Head l;ight | Head Lamp | Head light (LH) | 12V Head Light | 230 head light | Head Light | Head Light 2pin | Head Light 3pin | Head Light (L/R)
ELE-0006,Brush Holder,Electrical,part,15,,Brush Holder
ELE-0007,Mini Fuse,Electrical,part,13,,Mini Fuse (Various A) | Mini Fuse 10A | Mini Fuse 15A | Mini Fuse 20A | Mini Fuse 25A | Mini Fuse 5A | 10A Mini Fuse | 15A Mini Fuse | 20A Mini Fuse | 25A Mini Fuse | 30A Mini Fuse | 5A Mini Fuse | 7.5A Mini Fuse
ELE-0008,Speedometer,Electrical,part,13,RP01,Speedo Meter (km) | Dash Board meter / Speedometer | Speedometer
ELE-0009,Bulb Holder,Electrical,part,12,12V,Bulb Holder (Caples Bulb) | Holder & bulb | Bulb Holder | Caples Bulb Holder | Head Light Bulb Holder | Parking Bulb Holder | Single Filament Bulb Holder | capless bulb holder
ELE-0010,Cabin Fan,Electrical,part,11,24V | 12V,Cabbin Fan | Cabin Fan. | Cabin Fun
ELE-0011,Fog Light,Electrical,part,10,24V,Fog Hight (R/F) | CEO Foglight | Foglight | 4. Fog light LED | Fog light (LED) | 12V/ LED Fog Light | Fog Light | Fog light 12v
ELE-0012,Headlight Bulb,Electrical,part,9,H1 24V 100W,12V Headlight Bulb | 12V/100W Headlight Bulb | 24V Head Light Bulb | 24V Headlight Bulb | 24V/100W H1 Bulb | 24V/100W H4 Headlight Bulb | H7 Bulb | Head Light bulb | Headlight Bulb
ELE-0013,Ignition Switch,Electrical,part,9,6 pin,Ignition Switch (Key Cutting) | Starter Switch (Ignition) | Bars Starting key Switch | Engnition Switch | Ignition Switch | Key Switch
ELE-0014,Signal Flasher,Electrical,part,9,12V/24W | 24V,12V Signal Flasher | 12V/3 pin Flasher | 24V Signal Flasher | 34V/3 pin Flasher | Flasher
ELE-0015,Spark Plug,Electrical,part,9,BMGA | DMGA | BM6A,BMGA Spark Plug China | DMGA Spark Plug China | Spark Plug
ELE-0016,Tail Light,Electrical,part,9,,Tail Light (L/H) | Tail Light Set | Trail Light Set | Trail lamp set
ELE-0017,Auto Wire,Electrical,part,8,30m,Auto Wire — Meter | Auto wine | 3. Auto Wire 9/0.30 | 9/0.30mm Auto Wire | Auto wire
ELE-0018,Brush Holder With Brush,Electrical,part,8,,Brush Hoceder with Brush | Brush Holder / Brush | Brush holder with brush | Blush Holder with Brush Set
ELE-0019,Auto Wire Roll,Electrical,consumable,7,9/0.30 | 1.0/1.5,Auto Wire Roll | Wire Roll
ELE-0020,Bulb,Electrical,part,7,,12V 21W Bulb | 24V 100W Bulb | 24V 10W Bulb | Bulb
ELE-0021,Plug Base,Electrical,part,7,13A,Plug Base 13Amp | 13 Amp Plug Base | 13A Plug Base | 13Amp Plug Base | Plug Base
ELE-0022,Starter Motor,Electrical,part,7,12V,Starter Motor | Starter Motor New | Starta | Starter Motor New 12V
ELE-0023,Starter Relay,Electrical,part,7,6/12/25,12V Starter Relay | 24V Starter Relay | Starter Relay | Starter Relay 24V
ELE-0024,Wire Casing,Electrical,part,7,1/2 | 1/4 | 3/4,"Wire Casing | Wiring Sleeving 1/2"" (Wire Casing) | Wiring Sleeving 3/4"" (Wire Casing)"
ELE-0025,Main Fuse,Electrical,part,6,,Main Fuse 30A | Main Fuse 40A | Main Fuse 60A | 40 Amp Main Fuse
ELE-0026,Plug Top,Electrical,part,6,13A,Plug Top 13Amp | 13 Amp Plug Top | 13A Plug Top | Plug top | Square Pin Plug Top | 13A squre Plug tops
ELE-0027,Speedometer Sensor,Electrical,part,6,,Speedo Meter Senser | Speedo Meter Sensor | Speedometer Sensor
ELE-0028,Stop Solenoid,Electrical,part,6,,Stop Solanoid | Engine stop solenoid | Fuel Cut off Solenoid | Stop Solenoid | Stop Solonide | stop solonoid
ELE-0029,Armature,Electrical,part,5,24V,"Amature | Armature | Armature 12V, | Armature 24V"
ELE-0030,Horn,Electrical,part,5,12V,1. Elec. Horn | 12V Electric Horn | Horn | Electric Horn 12V | Normal Horn 12V
ELE-0031,Hour Meter,Electrical,part,5,12V,Hour Meter | Hrs meter | Hour Meter Unit
ELE-0032,Single Filament Bulb,Electrical,part,5,,12V/21W Single Filament Bulb | 24V/ Single Filament Bulb | 24V Single Bulb | 24V/21W Single Filament Bulb
ELE-0033,Brake Light,Electrical,part,4,,Brake light | Brake light (L/R) | Brake light Set (Rear) | 2. Brake light Set
ELE-0034,Diode Plate,Electrical,part,4,,Diade Plate | Diode Plate
ELE-0035,Fuel Cut Off Switch,Electrical,part,4,12V | 24V,Fuel Cut Switch | Fuel Cut off Switch | Fuel Cut Off Switch 12V
ELE-0036,Glow Plug,Electrical,part,4,,Heater Plug | Glow plugs
ELE-0037,LED Bulb,Electrical,part,4,10W,18w LED Bulb | LED 15W Bulb | LED Bulb | LED Bulb 15W
ELE-0038,Number Plate Light,Electrical,part,4,,2. Number plate light | Number Plate Light | Number platye light
ELE-0039,Signal Light Cup,Electrical,part,4,,Lock / signal light cup | Signal Light cup | Signal Light Cup (R)
ELE-0040,Starter Motor Solenoid,Electrical,part,4,,Starter Motor Solanoid | 7. Starter Motor Solenoid | Starter motor solenoid | Starter Motor Solonoide
ELE-0041,Auto Bulb,Electrical,part,3,,Auto Bulb 10W/10W Auto | 12V/100W Auto Bulb | 24V/100W Auto Bulb
ELE-0042,Cable Lug,Electrical,part,3,,Cable Lug
ELE-0043,Condenser,Electrical,part,3,UF 250 | 300MP | CBB60/4uF+-5%SH,Condenser | Condenser 300MP | Condenser CBB60/4uF+-5%SH
ELE-0044,Dashboard Meter,Electrical,part,3,,Dash Board Meter
ELE-0045,Double Filament Bulb,Electrical,part,3,,12V/21W Double Filament Bulb | 24V Double Filament Bulb
ELE-0046,Filament Bulb,Electrical,part,3,,100w/230v Filament Bulb | Bulb (Filament) | 100W/230V Bulb Filement
ELE-0047,Fuse Holder,Electrical,part,3,30m,Fuse Holder
ELE-0048,IC Regulator,Electrical,part,3,,Diode Plate / IC Regulator | IC Regulator
ELE-0049,Indicator Bulb,Electrical,part,3,,Indicator Bulb | Mini Auto Indicator Bulb | Signal Bulb
ELE-0050,LED Fog Light,Electrical,part,3,,LED Fog Light
ELE-0051,Lead Wire,Electrical,part,3,,Lead Wire
ELE-0052,Main Relay,Electrical,part,3,,24V Main Relay | Main relay
ELE-0053,Mud Guard Light,Electrical,part,3,,Mud Guard Light | Mudguard light
ELE-0054,Regulator,Electrical,part,3,,Regulator
ELE-0055,Relay Holder,Electrical,part,3,,Relay Holder
ELE-0056,Stop Switch,Electrical,part,3,,stop switch
ELE-0057,Toggle Switch,Electrical,part,3,,Toggle Switch
ELE-0058,Warm White Light,Electrical,part,3,,Warm Light (White)
ELE-0059,Water Temperature Sensor,Electrical,part,3,,Temparature sensor | Temperature Sensor | Water Temperature Sensor
ELE-0060,Wiper Motor,Electrical,part,3,,24v New Viper Motor with charges | Wiper Motor
ELE-0061,Wire,Electrical,part,3,4Core,03 Wire (Ft) | 3mm wire | Wire
ELE-0062,3 Core Wire,Electrical,part,2,,1.25 / 3 Core Wire | 3 Core Wire
ELE-0063,Air Horn Solenoid Valve,Electrical,part,2,,Air Horn Solonide Valve | Air Horne Solonide Valve
ELE-0064,Alternator Regulator,Electrical,part,2,,Alternator Regulator | Alternator Regulator 12V
ELE-0065,Auto Bulb (Yellow),Electrical,part,2,,12V/10W Auto Bulb Yellow | 12W10 Auto Bulb (Yellow)
ELE-0066,Body Controller Unit,Electrical,part,2,,Boddy controller unit
ELE-0067,Brake Light Cup,Electrical,part,2,,Brake Light Cup (Rear L) | Brake Light Cup (Rear)
ELE-0068,Cable Bulb,Electrical,part,2,,Cable Bulb 12V/3W | Cable Bulb 24V/5W
ELE-0069,Capacitor,Electrical,part,2,,Condenser 100uF +- 20% | Capacitor C200 F/250 V
ELE-0070,Capless Bulb,Electrical,part,2,,12V/5W Capless Bulb | 24V/3W Cables Bulb
ELE-0071,Contact Points,Electrical,part,2,,Contact Pieces
ELE-0072,Dashboard Bulb,Electrical,part,2,,12V Dashboard Bulb | 24V Dashboard Bulb
ELE-0073,Fog Light Bulb,Electrical,part,2,,24V Fog Light Bulb | LED Fog light Bulb
ELE-0074,Fuel Control Unit,Electrical,part,2,,Fuel control unit
ELE-0075,Fuel Rail Pressure Sensor,Electrical,part,2,,Rail Pressor Sensor with fuel Rail
ELE-0076,Head Light Relay,Electrical,part,2,24V 6Pin | X8003800,Double Head Lamp Relay | Head Light Relay
ELE-0077,Hydraulic Pressure Sensor,Electrical,part,2,240,Hy Pressor Sensor
ELE-0078,Jumbo Blade Fuse,Electrical,part,2,,Blade Fuse 40A (Jumbo) | Blade Fuse 60A (Jumbo)
ELE-0079,LED Panel Light,Electrical,part,2,,LED Panel Light
ELE-0080,MCCB,Electrical,part,2,,100 Amp MCCB | 250 Amp MCCB
ELE-0081,Main Switch,Electrical,part,2,,24V MAin Switch | Main Switch
ELE-0082,On/Off Switch,Electrical,part,2,,EY 20 ON/OFF Switch | On/Off Switch
ELE-0083,PTO Switch,Electrical,part,2,,PTO Switch -New | PTO Switch
ELE-0084,Park Relay,Electrical,part,2,,Park relay
ELE-0085,Parking Light,Electrical,part,2,24V,Pork Light | parking light
ELE-0086,Phase Sensor,Electrical,part,2,,Phase sensor
ELE-0087,Reconditioned Starter Motor,Electrical,part,2,,Re Condition Starter Motor | recondition Starter Motor
ELE-0088,Reverse Light,Electrical,part,2,24V LED,Reverse light | Riverse Light
ELE-0089,Signal Light Switch,Electrical,part,2,,Double Signal Switch | Signal Light Switch
ELE-0090,Solenoid,Electrical,part,2,,Solenoid
ELE-0091,Solenoid Switch,Electrical,part,2,,Solinoid Switch
ELE-0092,Speaker,Electrical,part,2,12V,2. Speaker | Speaker
ELE-0093,Stand Fan Motor,Electrical,part,2,,Stand Fan Motor
ELE-0094,Starter Motor Brush,Electrical,part,2,,Starter Motor Brush | Starter Motor cluth brush
ELE-0095,Starter Motor Clutch,Electrical,part,2,,Starter Motor Clutch
ELE-0096,Starter Motor Contact,Electrical,part,2,,Starter motor contact | Startor motor contact
ELE-0097,Starter Solenoid,Electrical,part,2,,Solenoid (Staler motor) | Starter Motor Solonoid (cummins Engine Motor)
ELE-0098,Switch Box,Electrical,part,2,,Switch Box
ELE-0099,Temperature Plug,Electrical,part,2,,Temperature Plug
ELE-0100,Wire Lug,Electrical,part,2,,Wire Lug 6mm
ELE-0101,Wire Socket,Electrical,part,2,,Wire Socket (Large) | Wire Socket (Small)
ELE-0102,12V 3 Pin Relay,Electrical,part,1,,12V 3 Pin Relay (Signal)
ELE-0103,13A Plug Point,Electrical,part,1,,13A squre Plug point
ELE-0104,2 Core Wire,Electrical,part,1,,2Core Wire
ELE-0105,2 Way Switch,Electrical,part,1,5 Amp,2 way Switch
ELE-0106,24V 5 Pin Relay,Electrical,part,1,,24V 5 Pin Relay (single)
ELE-0107,24V Light,Electrical,part,1,,24V/light C 24V/n)
ELE-0108,2G Switch,Electrical,part,1,,2G Switch
ELE-0109,3 Phase Contactor,Electrical,part,1,DOL swith 230A,3 Phase Contactor
ELE-0110,3-Way Switch Box Cover,Electrical,part,1,,3-way off box cover
ELE-0111,4WD Solenoid,Electrical,part,1,12V,4WD Solenoid
ELE-0112,A/C Blower Motor,Electrical,part,1,,A/c Blow Motor
ELE-0113,A/C Compressor Wire,Electrical,part,1,,AC Compressor Wire
ELE-0114,Adblue Meter,Electrical,part,1,,Agrew Meter (Adblue Meter)
ELE-0115,Air Pressure Sensor,Electrical,part,1,,Air Pressure Sensor
ELE-0116,Alligator Clip Set,Electrical,part,1,,Alligator Clip Set (+/-)
ELE-0117,Alternator Bush,Electrical,part,1,,Alternator Bush
ELE-0118,Alternator Diode Plate,Electrical,part,1,,Diode Plate (Alternator)
ELE-0119,Alternator Pulley,Electrical,part,1,,Adternator Pully
ELE-0120,Alternator Seal Kit,Electrical,part,1,,Alternator Seal kits
ELE-0121,Alternator Voltage Regulator,Electrical,part,1,,24V Regulator (Alternator)
ELE-0122,Battery Clip,Electrical,part,1,,Battery Clip
ELE-0123,Blower Fan,Electrical,part,1,,Blower Fan
ELE-0124,Blower Switch,Electrical,part,1,,Blower Switch (AC)
ELE-0125,Boom Cable,Electrical,part,1,,Boom Cable (MTR)
ELE-0126,Brake Light Switch,Electrical,part,1,,Brake light switch
ELE-0127,Brush Holder with Regulator,Electrical,part,1,,Brush Holder with Regulator
ELE-0128,Brush Set,Electrical,part,1,,Brush Set with Holder
ELE-0129,Brushes,Electrical,part,1,,Brushes
ELE-0130,Cabin Light,Electrical,part,1,,Cabin Light
ELE-0131,Cable,Electrical,part,1,,Cable
ELE-0132,Cables Bulb,Electrical,part,1,,12V/3W Cables Bulb
ELE-0133,Chassis Light,Electrical,part,1,,Chassy Light
ELE-0134,Combination Switch,Electrical,part,1,,Combination Switch set
ELE-0135,Compressor Motor,Electrical,part,1,,Compressor motor
ELE-0136,Crimped Wire,Electrical,part,1,,Crimped Wire
ELE-0137,D/F Bulb,Electrical,part,1,,D/F Bulb 12V
ELE-0138,D/T Bulb,Electrical,part,1,,24V D/T Bulb
ELE-0139,DC-DC Converter,Electrical,part,1,,DC-DC Convertor
ELE-0140,Dead Light,Electrical,part,1,,Dead light
ELE-0141,Display Assembly,Electrical,part,1,,Display Assemble
ELE-0142,EV Relay,Electrical,part,1,,EV relay
ELE-0143,Ecolite Bulb,Electrical,part,1,,Ecolite 15w
ELE-0144,Electric Board,Electrical,part,1,,Electric Board
ELE-0145,Electric Horn (24V),Electrical,part,1,,24V/ Electric Hone Set
ELE-0146,Exhaust Fan,Electrical,part,1,,Exhauset fan 1*1
ELE-0147,Extension Cord,Electrical,part,1,,"Extension cord,,"
ELE-0148,Fan,Electrical,part,1,,Fan
ELE-0149,Field Coil and Armature,Electrical,part,1,,Field Coil and Armature
ELE-0150,Filament Bulb Flasher,Electrical,part,1,,Cor 500w Filement Bulb Flasher
ELE-0151,Flasher Unit,Electrical,part,1,,100w Flusher (LBD)
ELE-0152,Flood Light,Electrical,part,1,200W,Flood Light
ELE-0153,Focus Light,Electrical,part,1,10W,230V Forcus Light
ELE-0154,Front Light,Electrical,part,1,,Front light (upper)
ELE-0155,Fuel Pump Solenoid,Electrical,part,1,,Fuel Pump Solenoid
ELE-0156,Halogen Bulb,Electrical,part,1,,Halogen Bulb (Filement)
ELE-0157,Hand Light Cover,Electrical,part,1,,Hand Light cover
ELE-0158,Head Light Flasher,Electrical,part,1,,Head Light Flasher
ELE-0159,Head Light Switch,Electrical,part,1,,Head Light Switch
ELE-0160,Heat Meter,Electrical,part,1,,Heat Meter Unit
ELE-0161,Heater Switch,Electrical,part,1,,Heater Switch
ELE-0162,Heater Timer,Electrical,part,1,26/12,Heater Timer
ELE-0163,Hood Light,Electrical,part,1,,Hood Light
ELE-0164,Hydraulic Level Indicator,Electrical,part,1,,Hydratic Level Indicator
ELE-0165,Ignition Coil,Electrical,part,1,,Ignition Coil
ELE-0166,Indicator Bulb (24V 21W),Electrical,part,1,,24V 21W Orange Bulb (set)
ELE-0167,Indoor Fan,Electrical,part,1,,Indoor Fan
ELE-0168,Industrial Socket,Electrical,part,1,,Industrial Socket
ELE-0169,LED Flash Light,Electrical,part,1,100W,LED Flash Light
ELE-0170,LED Flasher,Electrical,part,1,,20W LED Flasher
ELE-0171,Lead,Electrical,part,1,,Lead
ELE-0172,Light Cup,Electrical,part,1,,Light Cup (Rear)
ELE-0173,Light Set,Electrical,part,1,,Light Set (Rear/R)
ELE-0174,Light Switch,Electrical,part,1,,Light Switch
ELE-0175,Lights & Signals,Electrical,part,1,,"Light, Signal, etc."
ELE-0176,Number Plate LED Strip,Electrical,part,1,,Number Plate LED Strip
ELE-0177,Oil Pressure Sensor,Electrical,part,1,,Oil Pressure Sensor
ELE-0178,Pendant Switch,Electrical,part,1,,Pendant Switch
ELE-0179,Power Shutter Motor,Electrical,part,1,,1. Power Shutter motor
ELE-0180,Pressure Sensor,Electrical,part,1,,Pressure Senser
ELE-0181,Pressure Sensor Switch,Electrical,part,1,,Pressure Sensor Switch
ELE-0182,Push Button Switch,Electrical,part,1,,Push Button Switch
ELE-0183,Rail Pressure Sensor,Electrical,part,1,,Rail Pressure Sensor
ELE-0184,Rear Light Cup,Electrical,part,1,,Rear Light Cup
ELE-0185,Reverse Horn,Electrical,part,1,,Reverse Horn 12V
ELE-0186,Road Return Switch,Electrical,part,1,,Road Return Switch
ELE-0187,Safety Solenoid,Electrical,part,1,,2. 24V / Safety Solenoid
ELE-0188,Safety Switch,Electrical,part,1,,Safety Switch
ELE-0189,Side Lamp,Electrical,part,1,,Side lamp (left side)
ELE-0190,Signal Switch,Electrical,part,1,,Signal Switch (L/R)
ELE-0191,Single Phase Motor,Electrical,part,1,,Single Phase Motor
ELE-0192,Solenoid Cup,Electrical,part,1,,Solonide Cup
ELE-0193,Speed Meter,Electrical,part,1,,Speed Meter
ELE-0194,Starter Button,Electrical,part,1,,Starter button
ELE-0195,Starter Motor Solenoid Contactor,Electrical,part,1,,Starter Motor Solenoid Contractor
ELE-0196,Starter Push Button Switch,Electrical,part,1,,Starter Push Button Switch
ELE-0197,Steering Switch,Electrical,part,1,,Steering Switch
ELE-0198,Switch Box Cover,Electrical,part,1,,Switch Box Cover
ELE-0199,Tail Lamp Set,Electrical,part,1,,Trail Lamp Set (L/R)
ELE-0200,Tail Light Lens,Electrical,part,1,,Tail light Lense
ELE-0201,Thread Bulb,Electrical,part,1,,Thread Bulb 20W
ELE-0202,Travelling Solenoid,Electrical,part,1,,Travelling Solanoid 12v
ELE-0203,Two Way Jack Switch,Electrical,part,1,,Two Way Jack Swith
ELE-0204,Variable Resistor 10K,Electrical,part,1,,10k variable resistor
ELE-0205,Ventilating Fan,Electrical,part,1,,Ventilating Fan
ELE-0206,Voltage Indicator,Electrical,part,1,,Voltage Indicator
ELE-0207,Voltage Regulator,Electrical,part,1,,Voltage regulator (Cutout)
ELE-0208,Winder Switch,Electrical,part,1,,Winder switch
ELE-0209,Wire Cord (Multi-Core),Electrical,part,1,,Wire Code (Multi Code)
ELE-0210,Wire Ferrule,Electrical,consumable,1,,3/4 4wire Large Ferrule
ELE-0211,Wire Harness,Electrical,part,1,,Wire Huness (complete)
ELE-0212,Wire Lug 10mm,Electrical,part,1,,Wire Lug 10mm Hole
ELE-0213,Wire Socket (Female),Electrical,part,1,,Wire Socket Female
ELE-0214,Wire Socket (Male),Electrical,part,1,,Wire Socket Male
ELE-0215,Xenon Ballast,Electrical,part,1,,Flood Light Circuit / Xenon Ballaster (?)
ENG-0001,Radiator Cap,Engine Parts,part,15,,8. Water outlet radiator cap | Radiator Cap | Radiator cup
ENG-0002,Engine Mount,Engine Parts,part,14,,9. Engine mount | Engin mount | Engine Mount | Engine mount LH&RH
ENG-0003,Water Pump,Engine Parts,part,13,,New water pump Engine | Water Pump (new) | TATA Water Pump | Water Pump
ENG-0004,Valve Oil Seal,Engine Parts,part,10,,Valve Oil Seal | Valve Seal
ENG-0005,Overhaul Kit,Engine Parts,part,9,,Over Roll Kit (L) | Overall Kit (L) | Overoll Kit (L) | Over Roll (XL) | Over Roll Kit (XL) | Overoll Kit (XL)
ENG-0006,Engine Stop Cable,Engine Parts,part,8,1615,Engine Stop Cable | Stop Cable | Stop Cable 1615 | Stop cable (Engine stop cable)
ENG-0007,Fuel Feed Pump,Engine Parts,part,8,,Feed Pump | Fuel Feed Pump (Hand Primer Pump ) | Fuel feed pump
ENG-0008,Piston Set,Engine Parts,part,8,JO5E,Piston Set - A1RO cooling | Piston HINO | Piston
ENG-0009,Injector Pump,Engine Parts,part,7,,Injector Pump & Injector | Injector Pump
ENG-0010,Overhaul Gasket Kit,Engine Parts,part,7,,Full Gasket Kit | Full overhaul gasket kit | Gasket Overall kit | Gasket overhall kit | Gasket overhand kit | Gasket overhaul kit | Overhaul Gasket Kit
ENG-0011,Tappet Cover Packing,Engine Parts,part,7,,Tapen cover packing | Tapet Cover Packing | Tappet Cover Packing
ENG-0012,Main Bearing Set,Engine Parts,part,6,0.25 | 0.75,1. Main bearing (set) | Main Bearing Set | Main Bearing set 0.75
